epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,2798.37,0.17786,0.14794,0.8517,0.5,1,0.995,0.983,0.23241,0.55456,0.73624,0.0011288,0.0011288,0.0011288
46,2860.89,0.17458,0.14734,0.85024,0.99054,1,0.995,0.98138,0.21573,0.15392,0.74653,0.001109,0.001109,0.001109
47,2922.93,0.17549,0.14728,0.8586,1,1,0.995,0.98138,0.30333,0.16135,0.81118,0.0010892,0.0010892,0.0010892
48,2985.24,0.17147,0.14586,0.85451,0.99414,1,0.995,0.97988,0.24984,0.13043,0.75654,0.0010694,0.0010694,0.0010694
49,3047.35,0.17893,0.15202,0.85648,0.99413,1,0.995,0.995,0.16254,0.11035,0.70129,0.0010496,0.0010496,0.0010496
50,3109.51,0.19055,0.15093,0.85264,0.99415,1,0.995,0.995,0.21006,0.13338,0.72619,0.0010298,0.0010298,0.0010298
51,3171.79,0.18114,0.15046,0.85648,0.99374,1,0.995,0.995,0.15968,0.13897,0.69465,0.00101,0.00101,0.00101
52,3234.46,0.18062,0.1464,0.85583,0.58356,1,0.995,0.97675,0.24963,0.47525,0.73355,0.0009902,0.0009902,0.0009902
53,3297,0.18593,0.15068,0.84676,0.4986,1,0.995,0.98138,0.18289,1.10406,0.70307,0.0009704,0.0009704,0.0009704
54,3359.03,0.17332,0.13772,0.85556,0.98393,1,0.995,0.97988,0.23814,0.18496,0.74074,0.0009506,0.0009506,0.0009506
55,3421.81,0.17319,0.14541,0.85159,1,1,0.995,0.983,0.2054,0.11329,0.72681,0.0009308,0.0009308,0.0009308
56,3483.59,0.17174,0.13793,0.84908,0.99417,1,0.995,0.995,0.25572,0.16714,0.78462,0.000911,0.000911,0.000911
57,3545.95,0.16876,0.13958,0.85135,1,1,0.995,0.97362,0.26348,0.14727,0.81113,0.0008912,0.0008912,0.0008912
58,3608.06,0.17077,0.15246,0.85795,0.99415,1,0.995,0.97675,0.20653,0.13532,0.74512,0.0008714,0.0008714,0.0008714
59,3670.12,0.17677,0.15639,0.85598,0.99411,1,0.995,0.995,0.23477,0.20073,0.78807,0.0008516,0.0008516,0.0008516
60,3732.33,0.17643,0.14956,0.85279,1,1,0.995,0.97675,0.18037,0.10862,0.70825,0.0008318,0.0008318,0.0008318
61,3794.79,0.17238,0.14513,0.85092,0.99415,1,0.995,0.98138,0.27598,0.14996,0.74011,0.000812,0.000812,0.000812
62,3857.09,0.1697,0.14152,0.86231,1,1,0.995,0.97825,0.22975,0.1366,0.7357,0.0007922,0.0007922,0.0007922
63,3919.63,0.1636,0.1356,0.84725,1,1,0.995,0.995,0.1864,0.1239,0.71832,0.0007724,0.0007724,0.0007724
64,3981.82,0.16516,0.13381,0.84677,1,1,0.995,0.995,0.19007,0.11449,0.71956,0.0007526,0.0007526,0.0007526
65,4043.61,0.15468,0.12931,0.85092,0.99407,1,0.995,0.995,0.17506,0.11433,0.71005,0.0007328,0.0007328,0.0007328
66,4105.65,0.15249,0.13199,0.84735,1,1,0.995,0.995,0.19146,0.13272,0.71784,0.000713,0.000713,0.000713
67,4168.09,0.14722,0.1248,0.83403,1,1,0.995,0.995,0.21224,0.13973,0.73864,0.0006932,0.0006932,0.0006932
68,4230.37,0.15078,0.12803,0.84353,1,1,0.995,0.995,0.19002,0.13277,0.71749,0.0006734,0.0006734,0.0006734
69,4292.71,0.14515,0.12615,0.84251,1,1,0.995,0.995,0.20048,0.20087,0.71896,0.0006536,0.0006536,0.0006536
70,4355.05,0.14506,0.12253,0.8481,1,1,0.995,0.995,0.2386,0.27511,0.75943,0.0006338,0.0006338,0.0006338
71,4416.77,0.1475,0.11995,0.8498,1,1,0.995,0.995,0.18557,0.12989,0.70695,0.000614,0.000614,0.000614
72,4479.2,0.1461,0.13003,0.84913,0.99415,1,0.995,0.97362,0.17539,0.10059,0.70078,0.0005942,0.0005942,0.0005942
73,4541.42,0.1437,0.12024,0.84814,1,1,0.995,0.995,0.19482,0.11359,0.71523,0.0005744,0.0005744,0.0005744
74,4603.62,0.14553,0.12423,0.85249,0.99419,1,0.995,0.98138,0.1854,0.10921,0.71007,0.0005546,0.0005546,0.0005546
75,4666.04,0.14442,0.12111,0.84998,1,1,0.995,0.98138,0.18657,0.11658,0.70808,0.0005348,0.0005348,0.0005348
76,4728.36,0.14518,0.12078,0.85082,1,1,0.995,0.983,0.2088,0.11555,0.70584,0.000515,0.000515,0.000515
77,4790.43,0.14193,0.11698,0.84435,1,1,0.995,0.995,0.17923,0.1016,0.70387,0.0004952,0.0004952,0.0004952
78,4853.08,0.13898,0.11629,0.83264,1,1,0.995,0.967,0.24278,0.1311,0.76859,0.0004754,0.0004754,0.0004754
79,4915.2,0.14236,0.11672,0.84643,1,1,0.995,0.96067,0.25763,0.14343,0.7901,0.0004556,0.0004556,0.0004556
80,4977.64,0.13448,0.11498,0.85035,1,1,0.995,0.995,0.19576,0.12206,0.71743,0.0004358,0.0004358,0.0004358
81,5039.93,0.13713,0.11502,0.84476,1,1,0.995,0.995,0.18189,0.10591,0.70799,0.000416,0.000416,0.000416
82,5101.99,0.13865,0.11838,0.84732,1,1,0.995,0.995,0.17854,0.10439,0.71175,0.0003962,0.0003962,0.0003962
83,5164.24,0.13147,0.11045,0.83794,0.99426,1,0.995,0.995,0.16644,0.10372,0.70682,0.0003764,0.0003764,0.0003764
84,5226.41,0.12712,0.1123,0.84811,0.99419,1,0.995,0.995,0.18087,0.10204,0.70599,0.0003566,0.0003566,0.0003566
85,5288.37,0.13203,0.11349,0.84637,0.99425,1,0.995,0.995,0.1769,0.10548,0.70967,0.0003368,0.0003368,0.0003368
86,5350.65,0.1276,0.1112,0.83688,0.99423,1,0.995,0.97675,0.19841,0.12317,0.71436,0.000317,0.000317,0.000317
87,5412.75,0.1302,0.1126,0.83705,0.99425,1,0.995,0.995,0.17769,0.09911,0.70919,0.0002972,0.0002972,0.0002972
88,5474.76,0.12958,0.10862,0.8337,1,1,0.995,0.995,0.16504,0.09846,0.69767,0.0002774,0.0002774,0.0002774
