date,seq,timestamp,final_verdict,total_ms,steps
2026-07-13,019,2026-07-13T03:59:31.943Z,OK,20473.0,Kamera / Webcam:OK(0.00);Object Detector:OK(0.86);Socket Measurement:OK(0.62);Sinyal Arduino/PLC:OK(0.00);Simpan Gambar:OK(0.00)
2026-07-13,005,2026-07-13T04:18:37.208Z,OK,21726.0,Kamera / Webcam:OK(0.00);Object Detector:OK(0.82);Socket Measurement:OK(0.54);Sinyal Arduino/PLC:OK(0.00);Simpan Gambar:OK(0.00)
2026-07-13,006,2026-07-13T04:18:57.678Z,OK,20398.0,Kamera / Webcam:OK(0.00);Object Detector:OK(0.83);Socket Measurement:OK(0.55);Sinyal Arduino/PLC:OK(0.00);Simpan Gambar:OK(0.00)
2026-07-13,007,2026-07-13T04:19:16.419Z,OK,18518.0,Kamera / Webcam:OK(0.00);Object Detector:OK(0.84);Socket Measurement:OK(0.53);Sinyal Arduino/PLC:OK(0.00);Simpan Gambar:OK(0.00)
2026-07-13,008,2026-07-13T04:19:34.677Z,OK,18171.0,Kamera / Webcam:OK(0.00);Object Detector:OK(0.82);Socket Measurement:OK(0.61);Sinyal Arduino/PLC:OK(0.00);Simpan Gambar:OK(0.00)
2026-07-13,009,2026-07-13T04:19:52.635Z,OK,17885.0,Kamera / Webcam:OK(0.00);Object Detector:OK(0.85);Socket Measurement:OK(0.55);Sinyal Arduino/PLC:OK(0.00);Simpan Gambar:OK(0.00)
2026-07-13,010,2026-07-13T04:20:13.457Z,OK,20770.0,Kamera / Webcam:OK(0.00);Object Detector:OK(0.84);Socket Measurement:OK(0.54);Sinyal Arduino/PLC:OK(0.00);Simpan Gambar:OK(0.00)
2026-07-13,011,2026-07-13T04:20:41.976Z,OK,28074.0,Kamera / Webcam:OK(0.00);Object Detector:OK(0.84);Socket Measurement:OK(0.53);Sinyal Arduino/PLC:OK(0.00);Simpan Gambar:OK(0.00)
2026-07-13,012,2026-07-13T04:21:08.518Z,OK,26297.0,Kamera / Webcam:OK(0.00);Object Detector:OK(0.84);Socket Measurement:OK(0.52);Sinyal Arduino/PLC:OK(0.00);Simpan Gambar:OK(0.00)
2026-07-13,013,2026-07-13T04:21:27.441Z,OK,18777.0,Kamera / Webcam:OK(0.00);Object Detector:OK(0.84);Socket Measurement:OK(0.52);Sinyal Arduino/PLC:OK(0.00);Simpan Gambar:OK(0.00)
2026-07-13,014,2026-07-13T04:21:52.086Z,OK,24566.0,Kamera / Webcam:OK(0.00);Object Detector:OK(0.84);Socket Measurement:OK(0.53);Sinyal Arduino/PLC:OK(0.00);Simpan Gambar:OK(0.00)
2026-07-13,015,2026-07-13T04:22:14.882Z,OK,21972.0,Kamera / Webcam:OK(0.00);Object Detector:OK(0.85);Socket Measurement:OK(0.57);Sinyal Arduino/PLC:OK(0.00);Simpan Gambar:OK(0.00)
2026-07-13,005,2026-07-13T04:40:37.696Z,OK,11027.0,Kamera / Webcam:OK(0.00);Object Detector:OK(0.92);Socket Measurement:OK(0.00);Sinyal Arduino/PLC:OK(0.00);Simpan Gambar:OK(0.00)
2026-07-13,006,2026-07-13T04:40:45.802Z,OK,8008.0,Kamera / Webcam:OK(0.00);Object Detector:OK(0.85);Socket Measurement:OK(0.00);Sinyal Arduino/PLC:OK(0.00);Simpan Gambar:OK(0.00)
2026-07-13,007,2026-07-13T04:40:54.767Z,OK,8923.0,Kamera / Webcam:OK(0.00);Object Detector:OK(0.88);Socket Measurement:OK(0.00);Sinyal Arduino/PLC:OK(0.00);Simpan Gambar:OK(0.00)
2026-07-13,008,2026-07-13T04:41:04.599Z,OK,9772.0,Kamera / Webcam:OK(0.00);Object Detector:OK(0.87);Socket Measurement:OK(0.00);Sinyal Arduino/PLC:OK(0.00);Simpan Gambar:OK(0.00)
2026-07-13,009,2026-07-13T04:41:16.603Z,OK,11931.0,Kamera / Webcam:OK(0.00);Object Detector:OK(0.84);Socket Measurement:OK(0.00);Sinyal Arduino/PLC:OK(0.00);Simpan Gambar:OK(0.00)
2026-07-13,010,2026-07-13T04:41:30.593Z,OK,13695.0,Kamera / Webcam:OK(0.00);Object Detector:OK(0.83);Socket Measurement:OK(0.00);Sinyal Arduino/PLC:OK(0.00);Simpan Gambar:OK(0.00)
2026-07-13,011,2026-07-13T04:41:45.567Z,OK,14667.0,Kamera / Webcam:OK(0.00);Object Detector:OK(0.82);Socket Measurement:OK(0.00);Sinyal Arduino/PLC:OK(0.00);Simpan Gambar:OK(0.00)
2026-07-13,012,2026-07-13T04:44:00.711Z,OK,11072.0,Kamera / Webcam:OK(0.00);Object Detector:OK(0.82);Socket Measurement:OK(0.00);Sinyal Arduino/PLC:OK(0.00);Simpan Gambar:OK(0.00)
2026-07-13,013,2026-07-13T04:44:10.070Z,OK,9262.0,Kamera / Webcam:OK(0.00);Object Detector:OK(0.83);Socket Measurement:OK(0.00);Sinyal Arduino/PLC:OK(0.00);Simpan Gambar:OK(0.00)
2026-07-13,014,2026-07-13T04:44:31.002Z,OK,20878.0,Kamera / Webcam:OK(0.00);Object Detector:OK(0.82);Socket Measurement:OK(0.53);Sinyal Arduino/PLC:OK(0.00);Simpan Gambar:OK(0.00)
2026-07-13,015,2026-07-13T04:44:41.194Z,OK,9306.0,Kamera / Webcam:OK(0.00);Object Detector:OK(0.82);Socket Measurement:OK(0.00);Sinyal Arduino/PLC:OK(0.00);Simpan Gambar:OK(0.00)
2026-07-13,016,2026-07-13T04:44:55.499Z,OK,13613.0,Kamera / Webcam:OK(0.00);Object Detector:OK(0.83);Socket Measurement:OK(0.00);Sinyal Arduino/PLC:OK(0.00);Simpan Gambar:OK(0.00)
2026-07-13,017,2026-07-13T04:45:19.271Z,OK,20671.0,Kamera / Webcam:OK(0.00);Object Detector:OK(0.80);Socket Measurement:OK(0.60);Sinyal Arduino/PLC:OK(0.00);Simpan Gambar:OK(0.00)
2026-07-13,018,2026-07-13T04:47:08.632Z,OK,19275.0,Kamera / Webcam:OK(0.00);Object Detector:OK(0.88);Socket Measurement:OK(0.51);Sinyal Arduino/PLC:OK(0.00);Simpan Gambar:OK(0.00)
2026-07-13,019,2026-07-13T04:47:29.477Z,OK,20788.0,Kamera / Webcam:OK(0.00);Object Detector:OK(0.78);Socket Measurement:OK(0.57);Sinyal Arduino/PLC:OK(0.00);Simpan Gambar:OK(0.00)
2026-07-13,020,2026-07-13T04:47:50.125Z,OK,20573.0,Kamera / Webcam:OK(0.00);Object Detector:OK(0.80);Socket Measurement:OK(0.54);Sinyal Arduino/PLC:OK(0.00);Simpan Gambar:OK(0.00)
2026-07-13,021,2026-07-13T04:48:19.622Z,OK,29431.0,Kamera / Webcam:OK(0.00);Object Detector:OK(0.79);Socket Measurement:OK(0.51);Sinyal Arduino/PLC:OK(0.00);Simpan Gambar:OK(0.00)
2026-07-13,022,2026-07-13T04:58:00.423Z,OK,17202.0,Kamera / Webcam:OK(0.00);Object Detector:OK(0.90);Socket Measurement:OK(0.62);Sinyal Arduino/PLC:OK(0.00);Simpan Gambar:OK(0.00)
2026-07-13,005,2026-07-13T04:58:53.605Z,OK,15500.0,Kamera / Webcam:OK(0.00);Object Detector:OK(0.91);Socket Measurement:OK(0.51);Sinyal Arduino/PLC:OK(0.00);Simpan Gambar:OK(0.00)
