epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,4185.08,0.48336,0.63604,0.3137,0.80074,0.98015,0.98949,0.98555,0.77654,0.82567,0.82986,0.81276,0.43493,0.42314,0.61332,0.252,0.76643,0.000891125,0.000891125,0.000891125
31,4324.75,0.4853,0.63068,0.31179,0.80086,0.97285,0.98958,0.99289,0.76255,0.78663,0.80208,0.77752,0.43317,0.47474,0.61638,0.26013,0.77053,0.00087875,0.00087875,0.00087875
32,4465.35,0.46339,0.61404,0.30433,0.7976,0.97874,0.98958,0.98458,0.7652,0.81166,0.81597,0.80337,0.42996,0.42917,0.61442,0.242,0.76823,0.000866375,0.000866375,0.000866375
33,4604.44,0.46775,0.6043,0.30149,0.79699,0.9844,0.97732,0.98426,0.77601,0.81903,0.81597,0.81166,0.44822,0.41433,0.59938,0.24349,0.76681,0.000854,0.000854,0.000854
34,4743.37,0.46577,0.61982,0.29921,0.7982,0.99161,1,0.995,0.76762,0.85618,0.86458,0.85634,0.45234,0.44053,0.6079,0.25252,0.76676,0.000841625,0.000841625,0.000841625
35,4883.08,0.44809,0.58899,0.29249,0.79618,0.97891,0.98958,0.98523,0.76025,0.84495,0.82639,0.82205,0.44397,0.42626,0.63511,0.23621,0.7687,0.00082925,0.00082925,0.00082925
36,5022.23,0.45222,0.59586,0.29201,0.79602,0.98346,0.98812,0.98505,0.75358,0.84498,0.83681,0.82477,0.44255,0.49236,0.65607,0.26288,0.77215,0.000816875,0.000816875,0.000816875
37,5162.46,0.45203,0.5926,0.29491,0.79603,0.98542,0.98534,0.98398,0.77601,0.86262,0.84375,0.82555,0.43504,0.44607,0.65586,0.2383,0.76791,0.0008045,0.0008045,0.0008045
38,5301.02,0.44777,0.57995,0.29111,0.79437,0.97997,0.98812,0.9839,0.75107,0.83354,0.83333,0.83289,0.47992,0.43201,0.69326,0.24093,0.76905,0.000792125,0.000792125,0.000792125
39,5439.6,0.43999,0.57979,0.28236,0.79519,0.97944,0.98958,0.98416,0.72607,0.82032,0.82986,0.78203,0.44165,0.50948,0.73107,0.25451,0.77552,0.00077975,0.00077975,0.00077975
40,5578.3,0.43873,0.57101,0.28126,0.79471,0.99011,1,0.995,0.76373,0.86483,0.85417,0.86138,0.45683,0.43902,0.62184,0.23286,0.77026,0.000767375,0.000767375,0.000767375
41,5717.34,0.43135,0.56919,0.27615,0.7927,0.9742,0.97917,0.98367,0.75137,0.86557,0.84375,0.86651,0.46485,0.4465,0.63107,0.23363,0.77226,0.000755,0.000755,0.000755
42,5855.83,0.42485,0.56482,0.2757,0.79387,0.99155,0.99964,0.995,0.75253,0.84817,0.83715,0.843,0.45334,0.44039,0.65603,0.22879,0.76931,0.000742625,0.000742625,0.000742625
43,5995.59,0.42525,0.5775,0.27443,0.79106,0.98935,1,0.995,0.7099,0.84251,0.85069,0.8329,0.48134,0.48463,0.66037,0.25376,0.7731,0.00073025,0.00073025,0.00073025
44,6134.6,0.42814,0.5738,0.27712,0.79491,0.98227,0.98958,0.98389,0.7616,0.83376,0.83681,0.83006,0.48849,0.43037,0.56621,0.21596,0.76836,0.000717875,0.000717875,0.000717875
45,6273.68,0.43561,0.56462,0.27507,0.79619,0.98279,0.98958,0.98402,0.77403,0.84417,0.84375,0.81339,0.45595,0.41949,0.61483,0.22545,0.7675,0.0007055,0.0007055,0.0007055
46,6412.89,0.42656,0.56378,0.27339,0.79387,0.9907,1,0.995,0.74007,0.8336,0.85009,0.8357,0.45326,0.46224,0.63143,0.23053,0.77184,0.000693125,0.000693125,0.000693125
47,6552.8,0.40904,0.53614,0.26581,0.79143,0.97961,0.98958,0.98501,0.76345,0.85881,0.84722,0.84382,0.46908,0.42075,0.63125,0.21239,0.76916,0.00068075,0.00068075,0.00068075
48,6691.99,0.40082,0.52462,0.26051,0.79195,0.98694,0.96875,0.97799,0.74774,0.85698,0.85069,0.82736,0.45128,0.44159,0.74966,0.23049,0.77073,0.000668375,0.000668375,0.000668375
49,6831.45,0.41754,0.54547,0.26538,0.7925,0.97897,0.98958,0.98531,0.71831,0.8679,0.85417,0.85934,0.50337,0.48874,0.699,0.24342,0.77324,0.000656,0.000656,0.000656
50,6971.04,0.38954,0.5092,0.258,0.79104,0.98225,0.9862,0.98702,0.75554,0.84104,0.85764,0.85481,0.46423,0.44126,0.70901,0.21762,0.77111,0.000643625,0.000643625,0.000643625
51,7110.22,0.39438,0.51724,0.26166,0.79224,0.99025,0.98958,0.98745,0.75082,0.85355,0.80903,0.82907,0.42775,0.43322,0.64075,0.22358,0.76863,0.00063125,0.00063125,0.00063125
52,7250.6,0.38489,0.5131,0.2591,0.79107,0.97628,0.96875,0.97553,0.72681,0.826,0.81473,0.80696,0.44179,0.47794,0.79143,0.2334,0.77616,0.000618875,0.000618875,0.000618875
53,7389.7,0.38656,0.50549,0.25476,0.79097,0.9889,1,0.995,0.75459,0.80539,0.82455,0.81298,0.45093,0.43247,0.71256,0.218,0.76853,0.0006065,0.0006065,0.0006065
54,7528.63,0.38699,0.50526,0.25113,0.79082,0.98077,0.98958,0.98509,0.77494,0.83914,0.79315,0.80273,0.45137,0.43301,0.66451,0.21421,0.7682,0.000594125,0.000594125,0.000594125
55,7668.25,0.37551,0.49299,0.25134,0.78885,0.98218,0.98958,0.98421,0.74963,0.82683,0.84276,0.84714,0.45762,0.43271,0.72916,0.21289,0.76758,0.00058175,0.00058175,0.00058175
56,7808.17,0.37314,0.48576,0.24706,0.78923,0.99295,1,0.995,0.75759,0.85637,0.85764,0.84743,0.46252,0.44768,0.71556,0.21805,0.76817,0.000569375,0.000569375,0.000569375
57,7947.53,0.37086,0.48622,0.24751,0.78737,0.99118,0.98829,0.98758,0.76051,0.82424,0.81944,0.82954,0.45493,0.44358,0.6979,0.2156,0.76901,0.000557,0.000557,0.000557
58,8086.1,0.3571,0.47619,0.24111,0.78895,0.98198,0.98958,0.98592,0.73727,0.85784,0.85764,0.85239,0.47384,0.47087,0.7149,0.2186,0.7705,0.000544625,0.000544625,0.000544625
59,8224.58,0.36526,0.47902,0.24438,0.78677,0.98006,0.98958,0.98062,0.74471,0.80126,0.80903,0.79381,0.44203,0.4507,0.72217,0.21983,0.76952,0.00053225,0.00053225,0.00053225
60,8362.31,0.35588,0.46885,0.23976,0.78814,0.97036,0.97917,0.97675,0.76831,0.83395,0.81597,0.81895,0.46678,0.40783,0.70294,0.20225,0.76709,0.000519875,0.000519875,0.000519875
61,8500.45,0.35506,0.46322,0.23745,0.7886,0.98022,0.98958,0.98584,0.75845,0.85064,0.83681,0.84534,0.48475,0.41337,0.70848,0.19974,0.76722,0.0005075,0.0005075,0.0005075
62,8638.73,0.34921,0.45349,0.2348,0.78624,0.98037,0.98958,0.98627,0.75617,0.82805,0.83681,0.82077,0.46719,0.41414,0.65453,0.19411,0.76687,0.000495125,0.000495125,0.000495125
63,8776.96,0.34223,0.44569,0.23107,0.78533,0.9925,1,0.995,0.76016,0.84763,0.85417,0.85234,0.47212,0.41072,0.70929,0.20101,0.76837,0.00048275,0.00048275,0.00048275
64,8914.55,0.33226,0.44145,0.22624,0.78472,0.96827,0.97917,0.97184,0.74954,0.83446,0.83333,0.85581,0.45115,0.42101,0.80536,0.20054,0.76903,0.000470375,0.000470375,0.000470375
65,9052.77,0.32946,0.42881,0.22573,0.7834,0.98294,0.98958,0.98359,0.75072,0.82526,0.82639,0.83731,0.47728,0.42654,0.75601,0.20397,0.77089,0.000458,0.000458,0.000458
66,9191.48,0.3355,0.42984,0.22792,0.78708,0.98106,0.98958,0.98748,0.75488,0.81853,0.82639,0.8324,0.44527,0.44512,0.82723,0.20108,0.77161,0.000445625,0.000445625,0.000445625
67,9329.78,0.32818,0.42762,0.22453,0.78589,0.99196,1,0.995,0.75217,0.82403,0.80476,0.82933,0.47924,0.45496,0.77396,0.21301,0.77088,0.00043325,0.00043325,0.00043325
