epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
29,2962.68,0.40341,0.53393,0.32213,0.79275,0,0.99749,1,0.995,0.89459,0.96623,0.96875,0.96501,0.55137,0.33897,0.52148,0.24135,0.83228,0,0.00120491,0.00120491,0.00120491
30,3065.4,0.42016,0.54201,0.32221,0.78938,0,0.99804,1,0.995,0.8944,0.94603,0.94792,0.94285,0.53968,0.35507,0.55458,0.23743,0.83456,0,0.0011884,0.0011884,0.0011884
31,3167.93,0.41664,0.53284,0.32355,0.79212,0,0.99765,1,0.995,0.89565,0.95601,0.95833,0.95646,0.55004,0.31803,0.5207,0.2253,0.83226,0,0.0011719,0.0011719,0.0011719
32,3270.03,0.41531,0.52796,0.3172,0.78791,0,0.9974,1,0.995,0.87396,0.9662,0.96875,0.94825,0.53631,0.35735,0.53881,0.22685,0.83396,0,0.0011554,0.0011554,0.0011554
33,3372.16,0.41545,0.5152,0.32,0.79289,0,0.99821,1,0.995,0.89249,0.93578,0.9375,0.91712,0.5262,0.36897,0.59043,0.22281,0.83452,0,0.00113889,0.00113889,0.00113889
34,3474.23,0.39272,0.51019,0.30771,0.79156,0,0.99797,1,0.995,0.89507,0.95635,0.95833,0.93985,0.51652,0.34053,0.55366,0.22741,0.83515,0,0.00112239,0.00112239,0.00112239
35,3576.82,0.40462,0.52018,0.29472,0.78694,0,0.99826,1,0.995,0.90947,0.94622,0.94792,0.91901,0.52378,0.33939,0.54788,0.21851,0.83381,0,0.00110589,0.00110589,0.00110589
36,3678.98,0.39137,0.51481,0.30217,0.79363,0,0.99799,1,0.995,0.87885,0.96722,0.96875,0.95567,0.53773,0.35473,0.54876,0.21595,0.83481,0,0.00108938,0.00108938,0.00108938
37,3780.89,0.39383,0.49859,0.30111,0.78932,0,0.99756,1,0.995,0.89115,0.94549,0.94792,0.94024,0.54067,0.34656,0.53529,0.22373,0.83262,0,0.00107288,0.00107288,0.00107288
38,3883.23,0.38939,0.50947,0.29701,0.7863,0,0.99779,1,0.995,0.89612,0.95618,0.95833,0.95186,0.5407,0.32234,0.53445,0.20773,0.83251,0,0.00105638,0.00105638,0.00105638
39,3985.34,0.38677,0.49531,0.29292,0.79008,0,0.99744,1,0.995,0.89535,0.9558,0.95833,0.93967,0.54034,0.32186,0.55104,0.20462,0.8322,0,0.00103987,0.00103987,0.00103987
40,4086.91,0.3808,0.48027,0.28222,0.7886,0,0.99669,1,0.995,0.89021,0.98629,0.98958,0.98375,0.55153,0.31677,0.6038,0.20951,0.83083,0,0.00102337,0.00102337,0.00102337
41,4189.05,0.39613,0.51184,0.29001,0.78598,0,0.9971,1,0.995,0.8989,0.96583,0.96875,0.96041,0.56159,0.33219,0.54441,0.20712,0.83259,0,0.00100687,0.00100687,0.00100687
42,4291.51,0.38751,0.50522,0.29057,0.79219,0,0.99679,1,0.995,0.89245,0.94478,0.94792,0.93228,0.50164,0.34132,0.53712,0.20452,0.83366,0,0.000990365,0.000990365,0.000990365
43,4393.44,0.37599,0.49632,0.28354,0.78575,0,0.99772,1,0.995,0.90076,0.94571,0.94792,0.93395,0.5168,0.31676,0.52382,0.19303,0.83192,0,0.000973861,0.000973861,0.000973861
